extraversion,estabilidad_emocional,apertura,responsabilidad,amabilidad
3.22,2.56,3.5,4.48,3.53
3.04,2.8,4.2,3.16,4.29
2.62,2.34,3.78,3.78,3.87
3.71,2.87,3.95,3.13,4.53
3.48,3.64,3.76,3.21,3.45
3.41,3.19,3.72,2.85,3.79
2.76,2.32,3.52,2.54,4.14
3.6,3.16,2.91,3.11,3.57
1.82,3.35,4.11,3.5,3.34
3.23,3.49,4.42,3.71,3.2
2.88,3.35,4.75,3.5,2.96
2.66,1.48,3.87,2.85,2.83
2.06,2.29,4.04,2.88,2.48
3.23,2.92,3.94,4.16,3.66
2.43,3.1,3.99,3.33,2.7
3.73,2.86,3.33,3.71,4.37
3.28,2.93,4.12,4.56,4.13
2.52,2.22,3.36,3.26,4.77
3.36,2.03,3.82,4.04,3.45
2.47,2.61,3.31,3.71,3.32
3.53,2.42,2.38,3.24,4.59
2.82,3.61,2.79,3.18,3.84
2.49,2.39,4.12,4.61,3.6
2.59,2.98,3.89,4.24,3.71
2.37,3.24,3.14,2.34,3.2
2.35,3.69,4.97,3.34,3.35
3.51,4.07,3.32,3.61,3.6
2.87,3.3,4.05,3.06,3.5
2.5,2.98,4.99,4.16,3.61
2.63,2.95,4.39,3.35,4.65
2.39,2.97,4.89,2.45,4.48
2.13,3.13,3.5,4.21,1.53
2.09,2.74,3.65,3.14,3.52
2.49,2.87,3.01,3.85,4.07
3.91,2.67,3.4,3.73,3.47
3.11,1.92,3.9,3.13,3.02
2.27,4.16,3.53,4.42,3.86
2.21,2.32,4.18,3.22,2.93
3.04,3.06,2.9,3.49,3.35
1.73,3.62,3.04,4.51,2.89
2.27,4.18,2.48,3.3,4.08
2.95,1.85,3.76,3.58,4.54
3.45,1.85,3.61,3.03,4.45
3.58,3.82,3.07,3.23,2.29
4.06,3.62,3.44,4.28,4.18
3.66,1.87,3.11,3.82,3.91
3.65,2.38,3.72,4.13,4.26
3.12,3.83,4.93,3.76,4.5
2.66,3.69,4.28,3.23,4.42
2.77,2.54,3.63,4.9,3.88
3.64,2.6,3.68,2.96,3.28
3.59,3.17,4.68,3.57,3.54
3.83,2.67,2.53,4.51,3.95
1.96,3.24,3.34,4.79,3.18
2.82,2.46,2.87,3.26,2.7
2.57,1.89,2.54,2.72,3.32
2.76,2.2,3.97,3.67,3.38
2.88,4.51,3.8,3.99,1.92
2.78,1.42,3.32,3.93,3.21
3.42,2.37,4.04,2.73,3.49
3.36,3.64,3.54,4.91,3.39
2.89,4.65,3.36,2.96,4.57
3.8,3.29,2.59,3.96,3.25
2.5,4.06,2.08,4.05,3.98
4.25,3.47,2.14,3.18,3.71
3.33,4.01,2.21,3.49,4.33
3.97,4.73,3.35,4.38,4.83
3.78,3.8,4.23,3.21,2.69
3.67,2.92,3.61,3.34,3.4
3.26,2.37,3.68,3.85,3.62
2.73,3.85,4.98,3.32,4.51
3.62,1.03,3.08,3.3,4.2
3.24,3.59,4.09,3.14,3.16
2.47,3.06,3.54,3.8,3.18
3.63,3.96,4.75,4.14,3.8
3.5,3.7,3.16,4.5,4.84
4.21,3.23,3.86,3.96,3.67
3.47,3.1,3.49,4.8,3.78
3.17,3.93,3.74,3.88,3.63
2.47,3.18,2.81,3.83,2.87
3.63,3.82,3.83,3.64,3.95
2.07,2.3,3.52,3.91,3.62
2.59,3.31,3.3,3.03,3.89
3.02,4.19,4.11,4.16,3.89
2.67,2.44,2.56,3.02,3.53
2.94,2.97,3.2,2.53,2.99
2.38,3.1,3.13,3.27,3.82
2.82,3.97,3.35,3.84,2.77
3.49,2.87,3.92,3.9,3.55
3.25,2.89,4.6,4.28,4.0
2.49,2.3,3.15,3.55,3.97
2.65,4.17,3.63,2.44,3.35
1.73,2.59,3.23,3.32,3.45
2.92,2.72,4.71,4.46,2.9
3.81,1.87,3.04,4.65,2.15
3.45,2.18,3.52,3.59,4.82
2.69,3.15,4.08,3.54,3.11
3.1,3.28,4.27,3.11,3.37
3.31,3.07,3.49,3.69,3.2
2.7,3.57,2.84,4.43,3.82
2.44,3.44,3.75,4.17,4.46
2.93,2.62,3.19,3.09,3.16
3.29,3.22,3.27,3.24,3.91
2.86,2.35,3.52,3.53,2.94
3.58,3.9,3.66,3.78,4.03
3.12,3.93,4.83,3.75,3.97
3.61,2.93,2.81,4.26,2.61
4.11,3.92,3.76,3.73,4.86
2.62,2.25,3.19,3.53,2.99
3.22,3.32,3.04,4.7,2.73
2.44,3.51,3.48,3.96,3.25
2.57,2.67,3.13,4.03,3.34
3.55,3.69,4.38,4.26,4.2
3.55,2.78,3.44,2.56,3.87
2.77,3.53,4.01,2.85,2.98
2.94,2.78,3.75,2.98,3.7
2.22,1.44,4.15,2.88,3.29
2.36,2.05,3.34,3.44,4.34
3.38,2.99,4.18,4.39,3.95
2.91,4.04,4.91,4.11,4.87
3.64,3.9,2.84,3.0,3.64
2.23,2.72,4.25,3.28,4.03
2.4,2.8,4.37,3.83,3.87
4.06,4.27,2.99,4.52,3.25
3.12,3.22,4.4,2.99,3.98
3.42,3.87,3.48,4.32,3.19
3.76,3.49,2.61,3.95,3.79
2.94,2.6,3.45,2.8,4.82
2.52,2.66,4.46,4.06,4.16
3.96,2.95,2.87,4.22,4.21
2.96,2.17,4.52,4.06,2.74
3.56,2.02,3.28,3.0,3.24
2.68,2.7,4.15,3.88,4.1
3.73,2.9,3.69,4.03,4.83
3.62,4.34,4.36,4.36,2.46
3.61,3.38,3.67,3.37,3.38
3.36,3.89,2.54,3.83,3.29
2.62,3.53,3.39,3.29,3.15
3.29,3.2,2.84,3.17,3.55
3.35,2.34,3.98,3.18,3.03
2.7,3.36,2.97,4.21,4.89
2.92,3.35,3.25,3.7,4.64
3.62,2.46,4.75,4.42,4.0
2.78,3.26,3.05,3.99,3.46
1.92,3.96,3.77,4.37,3.58
3.24,4.12,3.91,3.88,3.56
3.23,4.63,3.05,3.05,2.7
3.42,3.72,4.16,2.85,4.35
3.78,3.12,3.65,4.12,3.92
3.48,2.31,3.5,2.94,4.1
3.42,3.12,3.84,2.73,4.25
2.88,3.31,4.43,3.23,4.48
3.2,3.23,4.03,2.92,4.07
3.17,4.05,3.47,3.47,3.92
3.1,2.24,3.49,4.49,3.61
2.66,3.79,2.29,2.37,3.67
3.23,3.38,2.98,3.6,2.72
3.25,1.88,3.52,3.86,2.48
2.85,3.85,4.75,2.76,3.9
2.46,2.1,4.78,4.11,3.12
3.25,3.73,3.76,4.08,1.64
2.98,2.6,3.48,3.71,3.23
2.54,4.32,4.06,3.28,4.13
3.5,4.24,2.86,4.18,3.26
3.76,3.05,1.98,3.72,2.46
3.02,3.16,3.34,2.77,2.91
2.67,3.0,4.56,4.14,3.35
3.83,2.08,4.12,3.59,3.83
3.48,2.65,4.21,3.69,3.46
3.82,3.73,2.78,4.55,2.95
1.92,3.9,4.4,3.73,3.49
3.99,3.79,3.15,4.15,2.83
2.83,2.34,2.04,2.96,4.5
2.54,2.75,2.79,4.24,3.67
3.4,3.12,2.78,3.09,4.24
3.1,3.84,1.34,4.39,3.34
4.31,2.78,3.65,4.11,3.08
3.61,2.67,4.56,4.19,4.01
2.74,3.03,3.84,2.43,3.3
3.64,2.16,4.55,3.31,3.89
2.51,3.6,3.96,4.41,4.59
3.81,3.38,2.74,4.52,2.79
2.89,3.81,3.95,4.69,3.67
2.21,2.98,3.75,3.48,4.63
3.0,2.03,3.97,2.98,4.82
3.28,2.05,4.41,2.45,4.28
3.4,3.35,3.88,4.0,3.2
3.9,2.1,4.73,2.96,3.67
3.91,2.8,3.51,3.45,4.46
2.8,3.2,4.02,3.57,3.08
2.4,1.96,2.77,2.62,3.18
3.3,3.25,3.03,3.06,3.0
2.38,2.19,4.14,2.82,3.68
2.8,1.73,3.77,3.49,3.15
3.3,3.33,2.85,3.96,3.93
3.85,2.7,4.69,3.58,2.33
3.42,3.14,2.99,4.28,3.35
3.69,3.14,4.17,4.12,3.99
2.57,3.96,3.64,4.95,4.0
3.54,2.58,3.33,3.76,2.88
2.5,3.11,3.57,3.82,4.43
2.92,3.76,3.52,3.58,3.85
2.01,3.26,3.17,3.12,2.39
2.89,1.66,4.26,3.55,2.53
2.77,3.82,3.2,3.52,3.42
3.06,1.81,3.59,3.35,3.53
2.89,4.01,3.51,3.86,3.08
3.98,2.69,3.9,4.4,3.46
3.13,3.68,4.12,3.02,3.79
2.62,2.59,3.16,4.46,4.75
4.55,3.16,3.02,3.09,4.76
2.3,2.94,3.22,4.79,2.98
3.73,4.28,3.51,3.99,2.63
3.09,3.03,1.76,3.96,3.91
2.21,2.05,3.09,3.37,3.46
2.61,2.38,3.85,3.4,3.6
3.01,3.58,3.52,4.24,3.74
3.62,4.23,2.57,4.27,4.88
2.6,3.18,3.37,3.97,4.02
2.77,4.28,3.01,3.61,4.37
4.2,2.78,4.19,3.84,2.6
2.61,2.22,3.26,3.44,3.69
3.83,3.55,3.45,4.19,3.95
