1. Disfruto estar rodeado de mucha gente.,2. Me resulta fácil iniciar conversaciones con desconocidos.,3. Prefiero pasar mi tiempo libre socializando en vez de estar solo.,4.  Me siento con energía después de asistir a una reunión social.,5.  Suelo ser quien toma la iniciativa para organizar planes con amigos.,6. Mantengo la calma incluso en situaciones de presión.,7. Rara vez me siento ansioso o preocupado sin motivo claro.,8. No me afectan demasiado las críticas de los demás.,9.  Puedo controlar mis emociones incluso cuando algo me molesta.,10. Me recupero rápido después de una situación estresante.,"11. Me gusta probar cosas nuevas, aunque impliquen riesgo.",12. Disfruto pensar en ideas abstractas o poco convencionales.,13. Me considero una persona curiosa e imaginativa.,14. Me interesa aprender sobre temas que no conozco.,"15.  Disfruto el arte, la música o la literatura poco convencional.",16. Planeo mis actividades con anticipación.,17. Cumplo con mis responsabilidades sin necesidad de que me lo recuerden.,18. Me gusta mantener el orden en mi espacio y en mis tareas.,"19. Termino lo que empiezo, aunque me tome tiempo.",20. Pienso bien las cosas antes de actuar.,21. Me preocupo genuinamente por el bienestar de los demás.,22. Prefiero cooperar antes que competir con otras personas.,23. Suelo confiar en las intenciones de las personas.,24.  Trato de ser comprensivo(a) incluso cuando alguien comete un error.,25.  Me resulta fácil perdonar a las personas.
2,3,4,3,3,3,2,1,2,2,4,3,3,3,3,5,3,4,4,5,3,4,2,3,1
3,2,4,2,5,2,3,4,4,4,3,3,4,5,2,3,5,5,3,5,5,4,3,5,3
5,5,4,4,4,3,4,4,4,4,3,3,3,5,2,3,4,3,3,4,3,3,3,3,4
3,4,3,3,5,3,3,3,2,3,4,4,2,4,4,3,4,5,5,4,4,4,3,4,1
3,3,3,3,3,1,2,1,2,2,3,2,3,3,3,3,3,4,4,3,4,5,4,4,3
4,5,3,4,3,5,1,5,2,3,4,4,5,3,3,4,3,4,4,4,5,4,3,5,5
3,2,5,4,4,3,5,3,3,3,2,2,4,4,3,5,4,4,4,4,5,5,2,5,3
3,5,3,3,5,3,3,4,4,2,4,2,4,2,5,5,5,3,5,5,5,4,3,4,3
3,3,3,3,2,3,3,3,1,1,3,4,4,3,4,5,5,5,5,3,4,4,3,5,5
4,3,3,4,4,2,1,1,1,1,5,4,4,5,3,4,5,5,4,2,3,5,4,2,3
3,3,3,3,2,2,4,5,3,2,5,5,5,5,4,3,3,3,3,3,3,3,3,4,4
4,5,3,4,3,3,4,1,3,3,3,3,2,4,5,3,4,4,4,4,3,3,3,3,2
4,3,3,3,3,1,1,4,3,2,5,5,4,5,2,4,4,4,3,4,4,4,4,4,3
4,4,5,3,3,2,3,2,2,2,4,2,4,5,3,4,4,5,4,3,5,5,4,5,5
3,3,2,1,2,4,3,5,4,4,5,3,4,4,4,4,5,5,5,4,5,5,4,4,3
3,4,3,3,3,3,3,2,3,3,2,2,4,3,3,3,4,4,4,4,3,5,3,4,3
5,4,4,4,4,4,3,2,3,2,4,4,4,4,3,4,2,3,3,2,3,4,3,4,3
3,2,5,2,4,4,3,5,3,4,4,4,5,5,5,4,3,4,3,4,3,4,3,4,1
3,3,4,3,4,4,3,5,2,4,3,3,5,4,5,3,3,4,2,4,5,5,5,5,2
3,4,3,4,2,5,2,5,3,4,4,5,5,5,4,4,4,3,5,4,4,4,3,5,3
5,5,4,3,5,5,2,2,4,4,4,4,3,3,3,3,4,4,4,4,5,5,5,5,3
2,4,2,3,5,5,3,3,3,4,4,4,5,4,5,4,3,4,3,3,2,3,3,2,3
3,4,4,3,3,4,3,3,3,4,4,2,3,4,3,3,5,5,5,3,5,4,4,4,3
2,4,3,2,2,4,2,5,4,3,2,4,4,4,3,3,3,3,3,2,5,4,2,5,4
3,3,3,4,3,3,2,3,3,2,4,3,4,5,4,4,5,4,3,4,4,3,2,3,4
3,4,3,5,2,5,3,4,4,4,2,2,4,5,3,3,4,4,5,4,5,3,3,4,3
5,4,4,4,5,1,1,3,2,1,5,4,5,5,2,4,4,3,3,4,4,4,4,3,3
4,3,4,5,5,3,5,2,3,3,3,3,3,4,4,5,4,4,4,3,4,4,1,4,4
3,3,2,3,3,3,4,4,2,3,4,3,3,4,3,4,3,4,3,5,3,2,2,3,1
5,4,4,5,3,4,2,4,3,2,5,4,5,5,5,4,3,2,3,3,4,5,4,4,2
5,5,5,4,5,2,2,3,3,2,3,2,4,3,1,3,4,3,3,4,5,4,3,5,3
3,3,5,2,5,5,3,5,4,4,3,2,4,4,4,3,2,3,3,3,4,4,4,3,2
4,3,3,4,5,3,3,4,4,4,2,2,3,3,1,3,4,4,5,2,4,5,4,5,5
3,5,4,4,5,3,5,3,4,3,4,3,4,3,5,3,2,3,3,4,4,2,2,4,4
4,3,4,3,2,4,4,3,4,3,5,3,4,5,3,3,4,5,3,2,3,3,2,3,3
2,4,2,2,4,1,3,2,3,2,5,3,5,3,4,3,3,1,2,2,4,3,3,4,3
4,3,3,4,3,5,4,4,5,4,4,2,3,5,4,4,4,5,5,4,5,4,3,3,2
3,2,2,3,4,3,2,3,1,4,5,5,5,5,4,5,3,5,5,4,5,3,3,5,4
5,5,5,5,5,3,4,4,2,3,4,3,5,5,3,5,3,4,4,3,5,4,3,4,2
5,4,5,3,5,5,3,4,5,5,3,2,3,2,3,4,3,3,3,4,4,2,5,5,4
4,5,3,3,3,2,3,2,1,3,2,2,2,3,1,3,3,2,2,3,4,3,3,5,3
4,3,2,2,4,3,3,3,3,5,3,3,3,3,3,3,4,3,2,3,3,1,3,3,2
3,3,4,3,4,3,4,3,4,4,4,5,5,5,3,4,4,4,5,4,4,3,3,4,4
3,4,4,5,3,3,4,2,3,3,4,3,3,2,4,4,3,2,4,4,3,4,3,4,2
2,4,2,1,1,4,2,3,4,4,3,3,5,3,5,3,3,4,3,4,4,4,2,3,3
3,4,3,5,2,5,4,5,4,5,3,4,4,3,4,3,3,4,4,3,3,3,2,4,4
4,3,3,2,4,1,2,2,3,3,3,4,4,4,3,5,4,3,4,3,5,5,5,5,5
3,3,4,4,4,3,4,5,4,4,3,3,4,3,3,4,5,4,5,3,3,3,3,3,3
3,4,3,4,3,5,2,5,3,3,2,3,4,3,3,5,5,5,5,5,4,4,3,5,4
2,1,2,2,4,1,3,5,4,5,3,3,3,5,3,3,4,4,3,5,4,5,4,4,3
4,3,3,4,3,1,1,1,3,2,3,1,2,4,4,4,5,4,4,4,5,5,4,4,5
4,5,4,4,4,5,4,4,5,5,1,2,3,2,3,4,3,4,5,5,3,2,2,2,3
4,5,4,4,3,4,3,3,3,4,2,2,3,4,3,5,5,5,5,5,5,4,4,4,4
3,2,2,1,3,3,4,4,3,3,2,4,3,5,2,4,4,4,4,3,4,3,3,3,4
4,4,4,4,3,2,3,3,1,1,3,5,3,4,4,5,5,4,5,5,2,3,3,4,4
3,4,4,3,2,5,2,5,3,2,3,4,3,3,3,4,4,4,5,4,3,4,3,5,4
2,4,3,2,2,5,4,4,5,5,3,5,5,3,5,3,3,4,4,4,4,3,3,3,3
2,2,4,2,4,4,3,5,4,5,3,2,5,4,4,5,3,5,3,4,4,4,4,4,2
4,3,3,4,3,2,5,5,2,2,4,5,4,4,4,3,3,4,4,4,4,3,4,5,5
4,2,3,4,5,4,3,3,3,3,3,2,4,3,3,2,4,3,3,4,3,3,3,4,3
3,1,3,1,5,2,4,5,4,5,3,4,3,5,3,4,5,5,4,5,4,4,3,4,3
2,3,2,3,1,4,2,4,2,2,3,4,4,4,3,3,2,3,3,3,3,3,3,5,4
3,2,3,5,3,3,1,3,3,4,3,3,2,4,3,3,3,3,4,3,5,5,5,4,5
3,2,3,3,4,3,2,3,2,3,3,3,4,4,3,4,4,3,5,5,4,3,3,3,3
3,3,4,5,2,4,4,4,4,3,5,3,4,5,4,5,5,5,4,4,3,4,2,4,4
3,4,5,3,4,2,3,3,2,3,4,3,3,4,3,4,4,5,5,4,5,4,3,4,5
2,2,4,3,5,2,1,4,1,3,3,3,5,4,5,4,3,4,2,4,4,3,3,4,1
2,1,4,4,3,3,5,3,3,3,1,1,2,4,2,4,4,5,4,3,5,4,2,5,3
3,2,3,2,4,3,5,5,3,4,4,4,4,5,3,3,4,3,4,3,3,3,3,3,4
5,3,3,3,4,1,1,4,3,1,4,3,4,5,1,3,4,3,4,3,4,4,4,4,3
2,2,4,4,4,4,1,3,4,4,4,4,4,5,5,3,4,4,4,4,3,3,3,4,4
2,3,1,1,5,5,3,3,3,5,4,4,4,4,4,5,5,4,5,4,3,3,3,3,4
3,2,3,3,5,1,2,5,4,4,3,4,3,5,3,3,4,4,3,5,3,3,2,3,2
5,3,3,4,3,5,2,3,5,4,4,5,5,5,3,4,3,3,4,4,4,4,3,4,3
2,4,3,3,4,5,4,5,5,5,2,2,2,4,2,4,4,4,4,4,2,3,3,3,2
2,1,2,2,2,1,1,1,3,2,3,1,2,3,4,5,5,4,4,4,5,4,2,2,2
3,3,3,3,3,2,1,3,2,3,4,4,4,5,3,1,3,4,4,3,5,4,5,4,5
3,1,3,1,5,1,2,4,2,4,4,4,4,5,2,3,5,4,3,4,5,5,4,5,4
3,4,4,1,4,2,3,1,3,2,1,3,4,4,4,4,5,3,2,3,5,4,4,5,3
2,5,2,3,5,5,3,2,2,4,5,4,4,4,4,5,3,3,3,3,3,4,4,3,4
2,3,3,4,4,5,3,4,5,5,3,4,3,5,3,3,3,4,4,3,3,3,3,3,3
3,4,3,3,5,3,3,3,2,3,3,4,3,4,5,1,2,3,5,2,5,5,5,5,2
3,2,3,1,3,3,2,2,3,3,4,4,5,5,4,4,2,3,3,2,3,3,4,4,4
4,3,3,3,3,3,1,1,4,3,5,5,5,5,3,5,4,5,4,5,3,3,2,2,2
2,3,1,3,3,4,2,5,4,4,2,3,3,3,2,3,3,4,4,3,3,4,4,3,5
4,4,3,2,5,3,1,3,3,5,4,4,3,3,5,4,4,3,2,3,5,3,5,5,5
2,3,4,3,2,4,4,3,4,2,4,2,3,4,3,4,3,5,4,3,4,4,2,4,4
4,3,3,2,3,1,1,4,3,3,5,5,4,5,2,4,5,5,4,5,4,4,4,4,3
4,3,3,4,4,3,5,5,2,4,4,4,4,5,5,3,5,3,3,5,3,4,5,2,5
4,4,4,3,3,5,1,5,2,3,3,4,3,3,2,3,3,4,5,4,2,2,2,4,2
3,3,3,4,3,3,3,5,3,4,5,4,5,5,4,3,4,4,5,3,4,4,4,5,5
3,4,2,3,4,2,1,2,3,4,3,2,3,3,2,4,2,3,3,3,4,2,2,4,2
3,4,3,4,3,4,1,2,3,5,5,4,4,4,3,3,4,4,3,5,5,4,4,4,5
4,5,3,4,3,3,2,2,3,3,2,3,4,5,3,2,4,3,5,3,3,2,3,3,2
2,4,4,4,4,5,2,4,5,5,4,3,4,4,3,2,4,4,3,4,5,5,4,4,4
2,3,1,1,2,5,2,2,5,3,3,3,5,3,5,4,2,4,3,4,5,4,4,5,5
4,3,4,2,5,3,1,3,3,5,3,3,3,4,5,4,4,3,2,4,4,2,3,4,4
3,1,4,1,3,4,4,4,5,5,3,5,5,5,4,4,5,5,5,2,4,3,2,4,2
4,4,5,5,3,5,5,4,5,5,5,3,3,4,4,3,3,5,3,2,3,3,2,3,4
2,4,3,4,4,2,1,3,3,3,4,4,5,4,1,4,4,5,5,4,3,3,4,1,2
4,5,4,5,3,5,4,3,5,5,3,3,2,3,3,3,3,3,2,3,3,3,4,3,4
3,1,3,3,3,2,3,5,1,4,1,2,2,2,2,3,5,3,3,4,5,5,5,4,5
3,1,3,2,4,3,4,4,2,2,2,3,3,3,2,4,4,5,4,4,5,3,3,3,4
5,4,4,5,3,4,2,5,3,3,4,2,3,5,3,5,5,3,3,4,4,3,4,4,2
2,1,4,2,3,3,3,3,5,3,3,3,4,5,3,3,4,5,4,3,5,4,4,3,4
3,3,3,1,4,4,4,4,3,3,5,5,5,5,4,3,3,3,4,2,5,4,5,5,5
2,3,3,3,4,2,1,3,3,4,4,4,5,5,1,5,4,5,5,4,5,4,5,3,4
3,2,1,3,2,5,2,4,3,3,4,2,2,5,3,4,3,2,2,3,3,2,3,3,1
3,2,4,3,4,4,3,5,2,4,3,3,5,4,5,4,3,4,3,4,4,3,3,4,2
1,3,3,3,3,4,1,2,4,3,2,3,3,3,3,3,4,4,4,3,4,4,4,4,2
2,3,2,2,4,3,1,3,4,4,4,4,3,3,1,3,3,5,4,4,5,4,5,2,4
3,4,3,2,4,5,2,2,4,5,3,3,2,2,2,2,4,4,3,4,5,4,4,5,1
3,4,4,3,3,2,1,3,1,2,5,3,4,5,2,3,4,5,5,5,3,3,5,3,4
2,3,3,4,3,4,4,3,4,3,4,3,4,4,4,4,4,5,4,4,4,5,3,4,3
2,3,4,2,5,3,1,4,2,3,3,1,5,4,5,5,3,5,4,5,4,4,4,4,2
4,2,2,4,3,3,2,2,4,3,5,3,3,5,5,4,3,3,3,3,5,5,4,3,4
3,3,3,2,2,3,1,3,3,2,3,3,4,5,4,4,3,4,4,4,4,4,2,5,4
3,5,3,3,5,4,2,2,2,4,4,4,4,4,4,4,3,3,3,3,5,4,5,5,4
3,4,3,3,4,4,4,2,4,4,3,4,4,4,4,4,3,3,3,3,4,5,3,3,2
4,4,3,3,3,2,1,5,5,3,4,4,4,5,2,3,3,3,2,3,4,4,4,4,3
3,3,3,3,2,3,3,2,2,2,5,3,3,3,4,3,2,2,3,3,4,5,4,5,3
4,4,3,2,5,2,4,5,3,2,4,2,2,3,4,3,3,4,4,2,5,3,2,4,4
2,2,1,2,2,4,2,2,5,4,4,4,5,5,3,4,3,4,4,3,4,4,2,4,3
2,2,3,5,4,3,4,3,4,3,5,4,4,4,5,4,3,3,4,5,4,2,3,4,3
2,2,4,3,3,3,4,3,4,3,5,5,5,5,4,3,4,4,4,3,4,3,2,3,3
3,2,3,3,2,2,2,1,1,1,5,2,4,4,4,2,3,4,3,2,3,3,2,3,3
2,2,2,1,3,2,2,3,2,2,5,3,5,4,3,3,3,2,3,3,4,2,2,2,2
2,2,4,4,4,3,2,5,2,3,3,3,5,4,5,5,4,4,4,4,4,4,4,4,2
2,3,2,1,4,1,3,4,4,4,4,4,4,5,3,3,4,4,3,3,3,3,2,4,2
4,2,4,5,4,3,4,1,3,3,3,3,2,5,4,4,4,4,4,3,5,5,4,5,3
3,4,3,3,3,3,3,3,3,3,4,3,4,5,5,5,4,5,4,5,5,4,4,5,3
2,4,3,3,1,2,2,3,2,2,4,3,3,4,3,2,2,4,3,5,5,5,4,5,5
2,4,3,4,4,1,3,2,2,2,4,5,4,3,3,5,3,4,4,4,3,4,3,4,3
3,2,3,1,3,5,1,1,3,3,4,4,3,3,3,3,4,4,4,4,4,4,3,4,2
4,3,4,3,4,2,2,2,3,3,1,2,3,4,2,3,3,4,3,3,5,5,4,5,4
3,5,1,2,3,3,4,2,5,4,3,2,4,3,2,3,3,3,4,3,4,4,3,4,4
3,2,2,3,2,2,2,2,3,3,5,4,4,5,3,4,4,5,5,5,5,3,3,3,4
3,1,3,2,4,2,3,3,4,3,3,3,4,5,4,3,5,4,5,4,4,4,3,5,3
2,1,3,3,3,3,3,3,4,3,3,3,4,3,3,2,3,2,2,3,3,3,3,3,4
2,1,3,3,3,2,5,3,4,4,5,5,5,5,5,4,3,4,4,2,4,4,1,4,4
3,4,3,4,4,4,5,3,4,4,3,3,3,4,4,3,4,4,4,3,3,5,3,4,3
3,2,4,1,4,3,3,3,4,4,3,4,5,4,4,3,3,3,3,3,4,4,3,4,3
4,2,2,2,3,4,2,2,3,4,5,5,5,5,5,5,4,4,4,4,4,4,3,4,3
3,2,3,3,2,4,2,3,4,2,4,3,5,5,5,3,4,3,3,4,5,5,4,5,4
2,2,4,1,3,2,4,4,3,2,5,5,4,5,5,3,3,3,2,1,5,3,4,5,5
1,3,2,2,3,3,1,4,4,4,4,4,5,4,1,4,4,5,5,3,2,2,2,1,1
1,2,1,2,4,3,3,3,2,3,5,3,2,4,4,2,3,4,4,3,5,4,3,5,1
2,3,3,3,1,3,3,3,3,2,4,2,2,4,3,4,4,4,4,3,4,5,3,4,4
4,3,4,4,5,3,3,2,2,3,3,3,5,3,3,3,5,3,4,4,4,3,4,3,3
4,3,3,2,4,2,3,1,2,2,3,4,4,5,4,3,4,3,3,3,4,2,2,3,4
3,2,1,2,3,5,3,4,4,5,4,3,4,4,3,5,4,4,4,5,5,3,3,5,3
1,3,1,3,3,3,1,2,3,3,5,4,5,3,4,2,3,3,4,4,3,3,3,3,3
3,3,3,3,3,3,2,3,4,3,4,4,3,2,2,5,3,4,3,2,3,4,3,4,3
2,1,1,3,2,5,3,4,3,3,3,2,2,4,4,5,5,4,4,5,4,2,3,4,1
1,3,3,3,1,5,4,3,4,5,3,2,2,3,2,4,3,3,3,4,4,4,4,4,4
3,3,3,3,3,1,1,4,1,2,4,4,4,5,2,2,3,5,5,3,5,4,5,4,5
4,5,2,3,3,2,1,2,2,2,4,4,4,3,3,1,3,4,4,3,4,5,3,5,5
3,5,3,3,4,4,2,4,5,4,3,3,3,3,3,3,3,3,4,3,2,3,1,1,4
4,5,3,3,5,4,4,3,3,4,5,3,2,3,4,3,4,5,5,4,5,5,4,5,2
4,4,5,3,2,2,2,1,3,1,4,2,3,4,3,4,4,5,4,2,4,4,4,4,4
4,4,3,4,3,3,1,2,3,3,4,2,3,5,5,4,4,4,5,4,5,5,4,3,4
4,4,4,1,3,4,4,2,5,4,5,5,5,5,5,4,5,4,3,3,5,5,4,5,4
3,2,1,3,4,4,4,3,4,3,4,4,5,4,4,3,3,3,4,3,4,5,4,5,4
3,3,3,2,3,2,3,4,2,2,3,3,4,5,3,5,5,5,5,5,4,3,4,3,5
3,3,4,3,5,3,2,2,3,3,3,3,4,4,4,4,3,3,3,2,4,3,3,3,3
3,5,3,3,4,4,4,2,3,3,5,4,4,5,5,3,5,4,3,3,4,4,4,3,3
3,4,4,4,4,2,2,4,2,3,3,3,3,3,1,4,5,5,5,4,3,4,4,4,5
2,2,2,3,1,2,4,4,3,3,4,2,4,4,3,5,5,5,4,5,4,3,3,4,2
3,3,2,4,2,2,3,3,2,2,3,2,3,3,3,3,3,4,1,5,4,2,2,4,2
2,2,3,4,2,2,1,1,2,3,3,3,2,3,2,2,3,3,2,4,3,4,4,3,3
3,3,2,2,4,2,3,3,2,1,5,3,3,5,4,4,4,4,4,2,4,3,2,4,4
2,2,4,2,4,5,4,5,4,5,3,3,5,4,4,4,3,5,3,5,2,2,2,3,1
3,2,3,2,4,2,1,1,1,2,4,4,3,3,3,3,4,4,5,4,4,4,3,4,1
4,5,2,3,3,2,3,1,3,3,5,3,5,4,3,3,3,3,2,3,3,4,2,4,4
3,2,4,3,5,3,3,5,3,4,3,3,5,4,3,5,5,5,5,5,3,4,4,4,2
2,5,3,2,2,5,5,3,5,5,2,3,3,4,5,2,4,4,3,2,5,5,5,5,3
3,4,4,3,5,4,3,3,3,3,5,2,1,2,3,3,3,5,5,4,4,4,3,4,1
3,3,3,3,1,4,4,3,4,5,1,1,3,3,2,3,4,4,5,4,5,4,3,4,4
5,4,4,3,5,3,4,4,3,3,3,2,4,1,1,3,4,3,3,3,5,3,4,4,3
4,4,3,3,3,4,4,3,4,5,2,2,3,3,1,3,3,3,4,4,4,5,4,4,5
4,5,4,4,3,5,4,5,5,5,4,3,3,4,3,4,5,5,5,3,5,5,5,5,4
5,4,4,3,3,4,3,4,4,4,5,3,4,5,4,3,4,3,3,3,3,3,3,2,2
3,2,4,5,4,3,2,3,3,4,4,3,2,5,4,5,3,3,3,3,4,3,3,4,3
4,3,3,3,3,3,1,1,4,3,3,4,5,4,2,4,4,4,3,4,4,4,3,4,3
3,2,3,2,4,4,5,4,3,3,5,5,5,5,5,3,4,3,4,3,5,4,4,5,5
5,3,3,4,3,1,1,1,1,1,4,2,3,4,2,4,4,3,2,4,5,4,4,5,3
3,3,4,2,4,5,3,2,4,4,4,5,4,3,4,2,3,4,4,3,4,4,3,4,1
3,3,2,2,2,3,1,4,3,4,4,3,4,3,4,3,3,4,5,4,3,4,2,2,5
2,4,4,5,3,5,4,2,4,5,5,5,4,5,5,5,4,4,3,5,4,4,4,4,3
4,3,4,2,5,4,4,3,4,4,3,2,4,4,3,5,4,5,5,4,5,5,4,5,5
4,4,5,3,5,3,3,4,3,3,3,4,4,5,3,4,4,4,5,3,4,4,3,3,4
3,2,4,4,4,4,4,2,3,3,3,3,3,4,4,5,5,5,5,4,5,5,2,5,2
2,4,3,2,5,5,3,3,4,5,4,3,4,4,4,5,2,4,4,4,4,3,3,4,4
2,3,3,3,1,4,3,3,3,3,2,3,3,4,2,3,3,5,3,5,2,3,2,4,3
3,5,3,4,3,5,2,5,4,3,3,4,5,3,4,3,3,5,4,3,4,4,3,5,4
2,1,2,2,3,3,2,2,3,2,4,3,5,3,3,4,5,3,4,4,4,3,4,3,4
3,3,2,2,3,4,2,2,5,4,3,4,4,4,2,3,3,3,3,3,5,4,3,4,3
3,3,3,2,4,4,5,5,4,3,4,4,5,5,3,4,5,5,4,3,4,4,3,3,5
3,3,1,3,3,2,1,3,3,3,3,1,3,3,3,3,2,4,3,3,3,4,2,4,5
3,2,3,3,4,2,4,5,1,3,3,4,3,3,3,1,4,2,1,5,2,3,5,2,3
2,4,1,1,4,5,2,3,2,4,3,4,3,3,3,4,3,3,3,3,4,4,4,3,4
2,3,3,4,2,4,3,5,5,3,3,2,4,4,4,3,5,3,4,4,4,3,2,3,2
3,3,3,3,5,3,3,3,2,3,4,3,5,4,4,4,5,3,4,4,4,4,4,3,3
3,3,4,2,4,3,2,2,4,3,5,4,5,5,4,4,4,5,4,4,5,3,4,5,3
3,2,3,2,2,3,1,1,4,3,3,4,4,3,2,3,4,4,3,4,4,4,3,4,5
2,3,3,3,2,4,5,3,5,4,4,4,4,3,3,4,2,2,3,1,3,4,3,4,3
2,1,2,2,2,3,1,1,5,3,3,4,4,3,2,3,3,5,3,3,4,4,3,3,3
3,3,2,2,5,3,1,3,2,5,5,5,5,5,4,4,5,4,4,5,3,2,3,4,3
4,4,4,4,3,3,1,3,1,1,3,4,4,2,2,5,4,5,5,4,2,2,1,3,3
3,5,3,3,3,3,1,2,3,2,3,4,4,2,5,4,3,4,3,4,5,5,4,5,5
2,1,3,3,4,3,5,2,3,3,4,3,4,5,4,4,3,4,4,3,4,4,2,4,2
2,4,3,4,3,3,4,4,2,3,4,4,4,5,4,3,3,3,3,4,4,4,3,4,2
3,3,3,5,3,4,3,3,2,3,5,3,3,4,2,4,4,4,3,3,3,5,3,2,3
3,3,3,1,4,3,3,5,4,3,3,3,4,3,1,4,4,5,4,5,5,4,3,4,3
3,3,3,1,2,3,3,4,4,3,5,3,3,4,4,2,5,5,5,4,5,5,4,4,4
3,2,3,3,4,3,2,3,3,2,4,2,4,3,3,2,3,2,4,4,3,3,3,4,3
4,2,3,2,5,2,2,4,4,4,3,3,3,5,2,3,4,4,2,3,4,5,3,4,4
2,4,2,2,4,2,3,3,3,1,4,2,5,2,5,5,4,2,4,3,3,3,3,4,2
4,3,4,3,4,4,5,5,3,3,3,4,3,5,3,4,4,4,4,3,4,4,3,4,5
4,3,3,1,5,4,3,4,4,5,5,5,5,5,4,4,4,4,3,4,4,3,4,4,5
2,4,2,5,5,3,1,4,3,4,3,3,3,2,3,2,4,5,5,5,3,2,2,3,3
4,4,4,5,4,4,4,4,4,4,2,3,5,5,4,3,5,4,4,3,5,5,5,5,4
2,3,3,3,2,3,2,2,2,2,4,3,3,4,2,3,4,4,4,3,3,4,4,2,2
4,2,3,3,4,3,3,3,4,4,3,3,4,3,2,4,5,5,5,5,3,3,3,3,2
3,3,2,2,2,5,2,5,3,3,3,4,4,3,3,4,4,3,5,4,3,3,3,4,3
2,2,3,2,4,2,3,2,3,3,3,3,3,5,2,4,4,4,4,4,4,2,3,4,4
3,5,3,3,4,5,3,3,3,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4
3,4,4,4,3,3,4,2,3,2,4,3,3,3,4,3,2,2,3,3,4,5,4,4,2
2,2,3,3,4,4,5,2,3,4,3,5,3,5,4,3,3,3,3,2,4,4,1,4,2
4,3,3,2,3,1,1,5,4,3,5,4,4,5,1,3,3,3,3,3,4,4,4,4,3
3,2,2,2,2,1,1,1,2,2,4,4,5,5,3,2,3,3,3,3,4,3,2,4,3
3,3,2,2,2,1,1,3,3,2,4,3,4,4,2,4,3,3,4,3,5,4,5,5,3
5,3,2,3,4,3,2,3,3,4,5,4,4,4,4,4,4,4,5,5,5,4,3,5,3
3,2,3,2,5,2,3,5,5,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,4
3,5,3,4,3,5,3,3,5,4,1,3,4,2,4,4,2,3,3,3,4,4,3,4,3
4,1,2,1,3,3,3,2,3,3,4,4,5,4,4,4,4,3,3,2,4,4,4,4,4
2,3,3,3,1,3,2,2,3,4,4,4,5,4,5,3,4,4,5,3,5,4,4,3,3
4,3,4,5,4,4,3,4,5,5,4,3,2,3,3,5,5,3,5,5,4,3,3,3,3
4,2,3,3,4,3,3,3,4,3,4,4,5,5,4,2,3,2,4,4,4,4,4,4,4
4,3,3,4,3,4,2,4,5,4,3,2,2,5,5,5,4,5,4,4,5,4,2,2,3
4,3,4,3,5,2,4,5,3,3,4,2,2,2,3,5,4,4,4,3,5,3,3,4,4
1,2,4,4,4,3,3,2,3,2,3,3,3,5,3,3,3,3,3,2,5,5,4,5,5
